"County","Election District","Election Precinct","Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against"
"21","001","003","Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","815","139"
"21","001","003","Juanita Sue Hopkins","NON","Board of Education     ","002","Y","","244",""
"21","001","003","Other Write-Ins","NON","Board of Education     ","002","","Y","6",""
"21","001","003","Greg Criniti","NON","Board of Education     ","006","Y","","90",""
"21","001","003","Andrea Poe","NON","Board of Education     ","006","","","108",""
"21","001","003","Other Write-Ins","NON","Board of Education     ","006","","Y","1",""
"21","001","005","Barack Obama","DEM","President - Vice Pres","","Y","","492",""
"21","001","005","Mitt Romney","REP","President - Vice Pres","","","","844",""
"21","001","005","Gary Johnson","LIB","President - Vice Pres","","","","13",""
"21","001","005","Jill Stein","GRN","President - Vice Pres","","","","5",""
"21","001","005","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"21","001","005","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"21","001","005","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"21","001","005","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"21","001","005","Santa Claus","IND","President - Vice Pres","","","Y","1",""
"21","001","005","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"21","001","005","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"21","001","005","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"21","001","005","James Clymer","CON","President - Vice Pres","","","Y","0",""
"21","001","005","Virgil Goode","CON","President - Vice Pres","","","Y","0",""
"21","001","005","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0",""
"21","001","005","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"21","001","005","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
"21","001","005","Will Christensen","OTH","President - Vice Pres","","","Y","0",""
"21","001","005","Stephen Durham","OTH","President - Vice Pres","","","Y","0",""
"21","001","005","Merlin Miller","OTH","President - Vice Pres","","","Y","0",""
"21","001","005","Leon Leo Ray","OTH","President - Vice Pres","","","Y","0",""
"21","001","005","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"21","001","005","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
"21","001","005","Paul Chehade","UNF","President - Vice Pres","","","Y","0",""
"21","001","005","David M. Crosby","UNF","President - Vice Pres","","","Y","0",""
"21","001","005","Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0",""
"21","001","005","Robert William Dietz","UNF","President - Vice Pres","","","Y","0",""
"21","001","005","Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0",""
"21","001","005","Darrell Hykes","UNF","President - Vice Pres","","","Y","0",""
"21","001","005","Nelson Keyton","UNF","President - Vice Pres","","","Y","0",""
"21","001","005","Dean Morstad","UNF","President - Vice Pres","","","Y","0",""
"21","001","005","Deonia Neveu","UNF","President - Vice Pres","","","Y","0",""
"21","001","005","Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0",""
"21","001","005","Jill Reed","UNF","President - Vice Pres","","","Y","0",""
"21","001","005","Cecil James Roth","UNF","President - Vice Pres","","","Y","0",""
"21","001","005","Sheila Tittle","UNF","President - Vice Pres","","","Y","0",""
"21","001","005","Other Write-Ins","BOT","President - Vice Pres","","","Y","6",""
"21","001","005","Ben Cardin","DEM","U.S. Senator           ","","Y","","417",""
"21","001","005","Daniel John Bongino","REP","U.S. Senator           ","","","","631",""
"21","001","005","Dean Ahmad","LIB","U.S. Senator           ","","","","17",""
"21","001","005","S. Rob Sobhani","UNF","U.S. Senator           ","","","","262",""
"21","001","005","Lih Young","DEM","U.S. Senator           ","","","Y","0",""
"21","001","005","Mary Podlesak","REP","U.S. Senator           ","","","Y","0",""
"21","001","005","Brandy Baker","UNF","U.S. Senator           ","","","Y","0",""
"21","001","005","Ed Tinus","UNF","U.S. Senator           ","","","Y","0",""
"21","001","005","Other Write-Ins","BOT","U.S. Senator           ","","","Y","0",""
"21","001","005","Wendy Rosen","DEM","U.S. Congress","01","","","296",""
"21","001","005","Andy Harris","REP","U.S. Congress","01","Y","","820",""
"21","001","005","Muir Wayne Boda","LIB","U.S. Congress","01","","","57",""
"21","001","005","John LaFerla","DEM","U.S. Congress","01","","Y","109",""
"21","001","005","Michael Calpino","UNF","U.S. Congress","01","","Y","0",""
"21","001","005","Douglas Dryden Rae","UNF","U.S. Congress","01","","Y","0",""
"21","001","005","Other Write-Ins","BOT","U.S. Congress","01","","Y","7",""
"21","001","005","Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","952","149"
"21","001","005","Juanita Sue Hopkins","NON","Board of Education     ","002","Y","","337",""
"21","001","005","Other Write-Ins","NON","Board of Education     ","002","","Y","9",""
"21","001","005","Greg Criniti","NON","Board of Education     ","006","Y","","281",""
"21","001","005","Andrea Poe","NON","Board of Education     ","006","","","218",""
"21","001","005","Other Write-Ins","NON","Board of Education     ","006","","Y","2",""
"21","002","001","Barack Obama","DEM","President - Vice Pres","","Y","","584",""
"21","002","001","Mitt Romney","REP","President - Vice Pres","","","","647",""
"21","002","001","Gary Johnson","LIB","President - Vice Pres","","","","13",""
"21","002","001","Jill Stein","GRN","President - Vice Pres","","","","4",""
"21","002","001","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"21","002","001","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"21","002","001","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
"21","002","001","Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0",""
"21","002","001","Santa Claus","IND","President - Vice Pres","","","Y","0",""
"21","002","001","Richard Duncan","IND","President - Vice Pres","","","Y","0",""
"21","002","001","Bruce Mlynski","IND","President - Vice Pres","","","Y","0",""
"21","002","001","Kevin M. Thorne","IND","President - Vice Pres","","","Y","0",""
"21","002","001","James Clymer","CON","President - Vice Pres","","","Y","0",""
"21","002","001","Virgil Goode","CON","President - Vice Pres","","","Y","0",""
"21","002","001","Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","0",""
"21","002","001","Andre Barnett","OTH","President - Vice Pres","","","Y","0",""
"21","002","001","Roseanne Barr","OTH","President - Vice Pres","","","Y","0",""
"21","002","001","Will Christensen","OTH","President - Vice Pres","","","Y","0",""
"21","002","001","Stephen Durham","OTH","President - Vice Pres","","","Y","0",""
"21","002","001","Merlin Miller","OTH","President - Vice Pres","","","Y","0",""
"21","002","001","Leon Leo Ray","OTH","President - Vice Pres","","","Y","0",""
"21","002","001","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"21","002","001","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
"21","002","001","Paul Chehade","UNF","President - Vice Pres","","","Y","0",""
"21","002","001","David M. Crosby","UNF","President - Vice Pres","","","Y","0",""
"21","002","001","Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0",""
"21","002","001","Robert William Dietz","UNF","President - Vice Pres","","","Y","0",""
"21","002","001","Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0",""
"21","002","001","Darrell Hykes","UNF","President - Vice Pres","","","Y","0",""
"21","002","001","Nelson Keyton","UNF","President - Vice Pres","","","Y","0",""
"21","002","001","Dean Morstad","UNF","President - Vice Pres","","","Y","0",""
"21","002","001","Deonia Neveu","UNF","President - Vice Pres","","","Y","0",""
"21","002","001","Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0",""
"21","002","001","Jill Reed","UNF","President - Vice Pres","","","Y","0",""
"21","002","001","Cecil James Roth","UNF","President - Vice Pres","","","Y","0",""
"21","002","001","Sheila Tittle","UNF","President - Vice Pres","","","Y","0",""
"21","002","001","Other Write-Ins","BOT","President - Vice Pres","","","Y","2",""
"21","002","001","Ben Cardin","DEM","U.S. Senator           ","","Y","","537",""
"21","002","001","Daniel John Bongino","REP","U.S. Senator           ","","","","519",""
"21","002","001","Dean Ahmad","LIB","U.S. Senator           ","","","","11",""
"21","002","001","S. Rob Sobhani","UNF","U.S. Senator           ","","","","161",""
"21","002","001","Lih Young","DEM","U.S. Senator           ","","","Y","0",""
"21","002","001","Mary Podlesak","REP","U.S. Senator           ","","","Y","0",""
"21","002","001","Brandy Baker","UNF","U.S. Senator           ","","","Y","0",""
"21","002","001","Ed Tinus","UNF","U.S. Senator           ","","","Y","0",""
"21","002","001","Other Write-Ins","BOT","U.S. Senator           ","","","Y","2",""
"21","002","001","Wendy Rosen","DEM","U.S. Congress","01","","","276",""
"21","002","001","Andy Harris","REP","U.S. Congress","01","Y","","642",""
"21","002","001","Muir Wayne Boda","LIB","U.S. Congress","01","","","62",""
"21","002","001","John LaFerla","DEM","U.S. Congress","01","","Y","179",""
"21","002","001","Michael Calpino","UNF","U.S. Congress","01","","Y","0",""
"21","002","001","Douglas Dryden Rae","UNF","U.S. Congress","01","","Y","0",""
"21","002","001","Other Write-Ins","BOT","U.S. Congress","01","","Y","3",""
"21","002","001","Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","860","154"
"21","002","001","Greg Criniti","NON","Board of Education     ","006","Y","","43",""
"21","002","001","Andrea Poe","NON","Board of Education     ","006","","","31",""
"21","002","001","Other Write-Ins","NON","Board of Education     ","006","","Y","1",""
"21","002","002","Barack Obama","DEM","President - Vice Pres","","Y","","128",""
"21","002","002","Mitt Romney","REP","President - Vice Pres","","","","228",""
"21","002","002","Gary Johnson","LIB","President - Vice Pres","","","","4",""
"21","002","002","Jill Stein","GRN","President - Vice Pres","","","","2",""
"21","002","002","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"21","002","002","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"21","002","002","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
