"Vote Type (FOR=1,AGAINST=2)","Candidate Name","Party","Office Name","Office District","Winner","Write-In?", CONC 005,CONC 008,CONC 004,CONC 002,CONC 006,CONC 007,CONC 009,CONC 001,CONC 003
1,"Stuart R. Berger",BOT,Judge Spec Appeal at Lg,,Y,,20367,24666,23304,11681,28479,20402,29476,21059,17144
2,"Stuart R. Berger",BOT,Judge Spec Appeal at Lg,,Y,,2885,3489,3368,1700,3607,3143,4358,3282,2505
1,"Michele D. Hotten",BOT,Judge Spec Appeals,04,Y,,22473,27166,24950,12837,31183,22938,31974,22862,18462
2,"Michele D. Hotten",BOT,Judge Spec Appeals,04,Y,,2338,2861,3075,1427,2729,2374,3592,2922,2166
1,"Zabrina Epps",NON,Board of Education     ,001,Y,,,,1156,,,,,12336,
1,"David Murray",NON,Board of Education     ,001,,,,,1228,,,,,12537,
1,"Other Write-Ins",NON,Board of Education     ,001,,Y,,,11,,,,,58,
1,"Patricia Eubanks",NON,Board of Education     ,004,Y,,8916,,,,,,,,3883
1,"Micah Watson",NON,Board of Education     ,004,,,7270,,,,,,,,3760
1,"Other Write-Ins",NON,Board of Education     ,004,,Y,23,,,,,,,,19
1,"Raaheela Ahmed",NON,Board of Education     ,005,,,,,10166,,5836,,,,
1,"Jeana Jacobs",NON,Board of Education     ,005,Y,,,,11181,,6654,,,,
1,"Other Write-Ins",NON,Board of Education     ,005,,Y,,,60,,20,,,,
1,"Henry P. Armwood, Jr.",NON,Board of Education     ,007,,,,420,,,3896,5178,1359,,
1,"Carletta Fellows",NON,Board of Education     ,007,Y,,,448,,,4855,9169,1487,,
1,"Other Write-Ins",NON,Board of Education     ,007,,Y,,1,,,12,23,6,,
1,"Edward Burroughs, III",NON,Board of Education     ,008,Y,,,21264,,,,2214,921,,
1,"André Nottingham",NON,Board of Education     ,008,,,,5635,,,,550,354,,
1,"Other Write-Ins",NON,Board of Education     ,008,,Y,,72,,,,3,8,,
