"County","Election District","Election Precinct","Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against"
"11","001","002","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"11","001","002","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
"11","001","002","Paul Chehade","UNF","President - Vice Pres","","","Y","0",""
"11","001","002","David M. Crosby","UNF","President - Vice Pres","","","Y","0",""
"11","001","002","Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0",""
"11","001","002","Robert William Dietz","UNF","President - Vice Pres","","","Y","0",""
"11","001","002","Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0",""
"11","001","002","Darrell Hykes","UNF","President - Vice Pres","","","Y","0",""
"11","001","002","Nelson Keyton","UNF","President - Vice Pres","","","Y","0",""
"11","001","002","Dean Morstad","UNF","President - Vice Pres","","","Y","0",""
"11","001","002","Deonia Neveu","UNF","President - Vice Pres","","","Y","0",""
"11","001","002","Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0",""
"11","001","002","Jill Reed","UNF","President - Vice Pres","","","Y","0",""
"11","001","002","Cecil James Roth","UNF","President - Vice Pres","","","Y","0",""
"11","001","002","Sheila Tittle","UNF","President - Vice Pres","","","Y","0",""
"11","001","002","Other Write-Ins","BOT","President - Vice Pres","","","Y","6",""
"11","001","002","Ben Cardin","DEM","U.S. Senator           ","","Y","","726",""
"11","001","002","Daniel John Bongino","REP","U.S. Senator           ","","","","539",""
"11","001","002","Dean Ahmad","LIB","U.S. Senator           ","","","","27",""
"11","001","002","S. Rob Sobhani","UNF","U.S. Senator           ","","","","244",""
"11","001","002","Lih Young","DEM","U.S. Senator           ","","","Y","0",""
"11","001","002","Mary Podlesak","REP","U.S. Senator           ","","","Y","0",""
"11","001","002","Brandy Baker","UNF","U.S. Senator           ","","","Y","0",""
"11","001","002","Ed Tinus","UNF","U.S. Senator           ","","","Y","0",""
"11","001","002","Other Write-Ins","BOT","U.S. Senator           ","","","Y","2",""
"11","001","002","John Delaney","DEM","U.S. Congress","06","Y","","889",""
"11","001","002","Roscoe G. Bartlett","REP","U.S. Congress","06","","","577",""
"11","001","002","Nickolaus Mueller","LIB","U.S. Congress","06","","","62",""
"11","001","002","Other Write-Ins","BOT","U.S. Congress","06","","Y","2",""
"11","001","002","William Rogers Nicklas, Jr.","BOT","Judge Circuit Court","06","Y","","1199",""
"11","001","002","Other Write-Ins","BOT","Judge Circuit Court","06","","Y","11",""
"11","001","002","Lynne A. Battaglia","BOT","Appellate Judge","03","Y","","1131","137"
"11","001","002","Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","1119","140"
"11","001","002","Zakir Bengali","NON","Board of Education     ","","Y","","594",""
"11","001","002","Tony Chmelik","NON","Board of Education     ","","","","454",""
"11","001","002","Colleen Cusimano","NON","Board of Education     ","","","","583",""
"11","001","002","Kathryn B. Katie Groth","NON","Board of Education     ","","Y","","819",""
"11","001","002","Joy Schaefer","NON","Board of Education     ","","Y","","749",""
"11","001","002","Tom Shade","NON","Board of Education     ","","","","278",""
"11","001","002","Other Write-Ins","NON","Board of Education     ","","","Y","20",""
"11","002","001","Barack Obama","DEM","President - Vice Pres","","Y","","1099",""
"11","002","001","Mitt Romney","REP","President - Vice Pres","","","","479",""
"11","002","001","Gary Johnson","LIB","President - Vice Pres","","","","24",""
"11","002","001","Jill Stein","GRN","President - Vice Pres","","","","16",""
"11","002","001","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"11","002","001","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"11","002","001","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
