"County","Election District","Election Precinct","Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against"
"16","001","002","Stephen Durham","OTH","President - Vice Pres","","","Y","0",""
"16","001","002","Merlin Miller","OTH","President - Vice Pres","","","Y","0",""
"16","001","002","Leon Leo Ray","OTH","President - Vice Pres","","","Y","0",""
"16","001","002","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"16","001","002","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
"16","001","002","Paul Chehade","UNF","President - Vice Pres","","","Y","0",""
"16","001","002","David M. Crosby","UNF","President - Vice Pres","","","Y","0",""
"16","001","002","Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0",""
"16","001","002","Robert William Dietz","UNF","President - Vice Pres","","","Y","0",""
"16","001","002","Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0",""
"16","001","002","Darrell Hykes","UNF","President - Vice Pres","","","Y","0",""
"16","001","002","Nelson Keyton","UNF","President - Vice Pres","","","Y","0",""
"16","001","002","Dean Morstad","UNF","President - Vice Pres","","","Y","0",""
"16","001","002","Deonia Neveu","UNF","President - Vice Pres","","","Y","0",""
"16","001","002","Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0",""
"16","001","002","Jill Reed","UNF","President - Vice Pres","","","Y","0",""
"16","001","002","Cecil James Roth","UNF","President - Vice Pres","","","Y","0",""
"16","001","002","Sheila Tittle","UNF","President - Vice Pres","","","Y","0",""
"16","001","002","Other Write-Ins","BOT","President - Vice Pres","","","Y","6",""
"16","001","002","Ben Cardin","DEM","U.S. Senator           ","","Y","","904",""
"16","001","002","Daniel John Bongino","REP","U.S. Senator           ","","","","708",""
"16","001","002","Dean Ahmad","LIB","U.S. Senator           ","","","","35",""
"16","001","002","S. Rob Sobhani","UNF","U.S. Senator           ","","","","278",""
"16","001","002","Lih Young","DEM","U.S. Senator           ","","","Y","0",""
"16","001","002","Mary Podlesak","REP","U.S. Senator           ","","","Y","0",""
"16","001","002","Brandy Baker","UNF","U.S. Senator           ","","","Y","0",""
"16","001","002","Ed Tinus","UNF","U.S. Senator           ","","","Y","0",""
"16","001","002","Other Write-Ins","BOT","U.S. Senator           ","","","Y","0",""
