"County","Election District","Election Precinct","Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against"
"17","001","002","Michael David Boyles","UNF","President - Vice Pres","","","Y","0",""
"17","001","002","Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0",""
"17","001","002","Paul Chehade","UNF","President - Vice Pres","","","Y","0",""
"17","001","002","David M. Crosby","UNF","President - Vice Pres","","","Y","0",""
"17","001","002","Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0",""
"17","001","002","Robert William Dietz","UNF","President - Vice Pres","","","Y","0",""
"17","001","002","Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0",""
"17","001","002","Darrell Hykes","UNF","President - Vice Pres","","","Y","0",""
"17","001","002","Nelson Keyton","UNF","President - Vice Pres","","","Y","0",""
"17","001","002","Dean Morstad","UNF","President - Vice Pres","","","Y","0",""
"17","001","002","Deonia Neveu","UNF","President - Vice Pres","","","Y","0",""
"17","001","002","Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0",""
"17","001","002","Jill Reed","UNF","President - Vice Pres","","","Y","0",""
"17","001","002","Cecil James Roth","UNF","President - Vice Pres","","","Y","0",""
"17","001","002","Sheila Tittle","UNF","President - Vice Pres","","","Y","0",""
"17","001","002","Other Write-Ins","BOT","President - Vice Pres","","","Y","4",""
"17","001","002","Ben Cardin","DEM","U.S. Senator           ","","Y","","468",""
"17","001","002","Daniel John Bongino","REP","U.S. Senator           ","","","","149",""
"17","001","002","Dean Ahmad","LIB","U.S. Senator           ","","","","24",""
"17","001","002","S. Rob Sobhani","UNF","U.S. Senator           ","","","","108",""
"17","001","002","Lih Young","DEM","U.S. Senator           ","","","Y","0",""
"17","001","002","Mary Podlesak","REP","U.S. Senator           ","","","Y","0",""
"17","001","002","Brandy Baker","UNF","U.S. Senator           ","","","Y","0",""
"17","001","002","Ed Tinus","UNF","U.S. Senator           ","","","Y","0",""
"17","001","002","Other Write-Ins","BOT","U.S. Senator           ","","","Y","3",""
"17","001","002","Steny H. Hoyer","DEM","U.S. Congress","05","Y","","526",""
"17","001","002","Tony O'Donnell","REP","U.S. Congress","05","","","176",""
"17","001","002","Arvin Vohra","LIB","U.S. Congress","05","","","16",""
"17","001","002","Bob Auerbach","GRN","U.S. Congress","05","","","22",""
"17","001","002","Other Write-Ins","BOT","U.S. Congress","05","","Y","2",""
"17","001","002","Krystal Alves","BOT","Judge Circuit Court","07","Y","","426",""
"17","001","002","DaNeeka Varner Cotton","BOT","Judge Circuit Court","07","Y","","374",""
"17","001","002","John P. Davey","BOT","Judge Circuit Court","07","Y","","413",""
"17","001","002","Hassan A. El-Amin","BOT","Judge Circuit Court","07","Y","","347",""
"17","001","002","Sherrie L. Krauser","BOT","Judge Circuit Court","07","Y","","385",""
"17","001","002","Other Write-Ins","BOT","Judge Circuit Court","07","","Y","17",""
"17","001","002","Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","503","76"
"17","001","002","Michele D. Hotten","BOT","Judge Spec Appeals","04","Y","","521","74"
"17","001","002","Zabrina Epps","NON","Board of Education     ","001","Y","","287",""
"17","001","002","David Murray","NON","Board of Education     ","001","","","353",""
"17","001","002","Other Write-Ins","NON","Board of Education     ","001","","Y","3",""
"17","001","003","Barack Obama","DEM","President - Vice Pres","","Y","","1344",""
"17","001","003","Mitt Romney","REP","President - Vice Pres","","","","158",""
"17","001","003","Gary Johnson","LIB","President - Vice Pres","","","","11",""
"17","001","003","Jill Stein","GRN","President - Vice Pres","","","","5",""
"17","001","003","Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","0",""
"17","001","003","Dennis Knill","DEM","President - Vice Pres","","","Y","0",""
"17","001","003","Matthew Lydick","REP","President - Vice Pres","","","Y","0",""
